player_id,web_name,first_name,second_name,team,team_short_name,position,price_millions,selected_by_percent,transfers_in,transfers_out,status,chance_of_playing_next_round,news,captured_at
106,Thiago,Igor Thiago,Nascimento Rodrigues,Brentford,BRE,FWD,8.0,16.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
445,Thiaw,Malick,Thiaw,Newcastle,NEW,DEF,5.0,2.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
173,Thomas,Bobby,Thomas,Coventry City,COV,DEF,4.0,5.9,0,0,a,,,2026-07-28T16:37:26.460290+00:00
194,Thomas-Asante,Brandon,Thomas-Asante,Coventry City,COV,FWD,5.0,1.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
43,Tielemans,Youri,Tielemans,Man Utd,MUN,MID,6.0,0.9,0,0,d,75,Hamstring injury - 75% chance of playing,2026-07-28T16:37:26.460290+00:00
455,Tonali,Sandro,Tonali,Spurs,TOT,MID,5.5,3.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
188,Torp,Victor,Torp,Coventry City,COV,MID,5.5,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
147,Tosin,Tosin,Adarabioyo,Chelsea,CHE,DEF,4.5,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
461,Touré,Bazoumana,Touré,Newcastle,NEW,MID,6.0,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
385,Trafford,James,Trafford,Man City,MCI,GK,5.0,1.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
227,Travers,Mark,Travers,Everton,EVE,GK,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
61,Truffert,Adrien,Truffert,Bournemouth,BOU,DEF,5.5,4.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
364,Tsimikas,Kostas,Tsimikas,Liverpool,LIV,DEF,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
137,Tzimas,Stefanos,Tzimas,Brighton,BHA,FWD,5.5,0.1,0,0,d,75,Knee injury - 75% chance of playing,2026-07-28T16:37:26.460290+00:00
557,Tzolis,Christos,Tzolis,Arsenal,ARS,MID,6.5,1.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
76,Tóth.A,Alex,Tóth,Bournemouth,BOU,MID,5.0,0.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
225,Uche,Christantus,Uche,Crystal Palace,CRY,FWD,5.0,0.0,0,0,u,0,has returned to Getafe CF,2026-07-28T16:37:26.460290+00:00
506,Udogie,Destiny,Udogie,Spurs,TOT,DEF,4.5,0.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
433,Ugarte,Manuel,Ugarte Ribeiro,Man Utd,MUN,MID,5.0,0.0,0,0,i,0,Knee injury - Unknown return date,2026-07-28T16:37:26.460290+00:00
83,Valdimarsson,Hákon Rafn,Valdimarsson,Brentford,BRE,GK,4.5,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
503,Van de Ven,Micky,van de Ven,Spurs,TOT,DEF,5.0,6.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
85,Van den Berg,Sepp,van den Berg,Brentford,BRE,DEF,5.0,0.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
175,van Ewijk,Milan,van Ewijk,Coventry City,COV,DEF,4.0,17.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
112,Van Hecke,Jan Paul,van Hecke,Spurs,TOT,DEF,5.0,8.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
554,Van Oevelen,Kayne,van Oevelen,Ipswich Town,IPS,GK,4.5,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
109,Verbruggen,Bart,Verbruggen,Brighton,BHA,GK,4.5,16.9,0,0,a,,,2026-07-28T16:37:26.460290+00:00
494,Vicario,Guglielmo,Vicario,Spurs,TOT,GK,4.5,1.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
356,Virgil,Virgil,van Dijk,Liverpool,LIV,DEF,6.5,15.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
396,Vitor Reis,Vitor,de Oliveira Nunes dos Reis,Man City,MCI,DEF,4.5,0.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
504,Vuskovic,Luka,Vušković,Brighton,BHA,DEF,5.0,2.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
